artist_id,artist_genre,artist_follower_count
4K61UysqQc1VRj8VsY76Qw,[],7547
4cnFw4bkIWVGKUBsr93OS5,"['indie cafe pop', 'indie r&b', 'indiecoustica']",20710
3IunaFjvNKj98JW89JYv9u,"['art pop', 'electropop', 'indie pop', 'indie poptimism', 'indietronica', 'modern dream pop', 'vapor soul']",351533
0vQwQkQbLxrapE7TG9o5SB,[],21188
5dCvSnVduaFleCnyy98JMo,"['k-indie', 'k-pop', 'korean pop', 'korean r&b']",428238
0tkHE1pQ5ZCgQb8WZ0ba79,"['k-hop', 'korean r&b']",42662
0z1uYQ5NabhwzkRMHfUipU,[],873
570A6QXjRBWJHPM3LrDjg1,[],1272
6iWuBN32BqCJAeXW6o3nil,"['alternative r&b', 'electropop', 'indie r&b', 'nyc pop']",99764
1ti0u37FfK0AO8cM2n7Ncr,"['alternative r&b', 'bedroom soul', 'indie r&b']",14175
2sBVpvpeQxK01FqIt5t816,[],31186
5932gYdqLCu1ftKVXf1PO4,[],3962
4azg4dtpH6PiewGHFzQEj0,"['canadian contemporary r&b', 'canadian electropop', 'canadian indie']",6610
2B2dZ6tZkA7MAHcPaHw1wF,"['alternative r&b', 'indie r&b']",8813
2zAshenjqDlcL4pudfySBY,"['alternative r&b', 'indie r&b']",10123
4iMO20EPodreIaEl8qW66y,"['bedroom pop', 'indie pop', 'modern rock', 'oakland indie']",336487
70NcAr4ZtA3FAqU16iQZSb,"['indie r&b', 'lo-fi chill', 'nyc pop']",1849
4OJCbpgLBwFKH3kvlvylUn,['bedroom soul'],5275
5XQRfs0gXs30aWUn1Umves,"['alternative r&b', 'indie r&b', 'indie soul']",79279
5JZ7CnR6gTvEMKX4g70Amv,"['pop', 'post-teen pop']",2541010
52vZqisxn7wkDk6sZe8jkD,[],55
0imE3buPhAowREqCrr4CYe,"['alternative r&b', 'indie r&b']",30541
3bSZmhmZ0bWMkMl37DK5ap,[],2309
66HtM6fwEJMF3feEXxCpnx,['el paso indie'],1115
08HpiyWkp2Z7gFTkVae265,[],1853
6Z4JcgqrqgysyHIPRtDIHo,"['alternative r&b', 'indie r&b']",18615
2LXD6fOM8RRfhmF3duZqnV,[],7220
3OGYb4zrAuI1f9h5HBkEnL,[],257
6oLj5SonG9BHYVJurbEri8,[],49
0ubGY2CcC0tvR0eE6hJaT8,"['ann arbor indie', 'bedroom soul', 'indie cafe pop', 'indie pop', 'indie r&b', 'indietronica']",39001
2DfpfU9DpRLC3EuWLKyy4m,[],9194
5bk1VVOTnbEcJh0e8Py4WX,['ann arbor indie'],194
440z47zS9yg3nUTHeVHLnT,['ann arbor indie'],3045
3ViaDDQ7Y8wF8NffNOnOD4,[],470
5rDXcEIODl8TgGTgrntnjX,"['alternative r&b', 'cali rap', 'canadian hip hop', 'trap soul', 'underground hip hop']",61777
0cGUm45nv7Z6M6qdXYQGTX,"['pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",3319155
4MLRqPe5pMdac459KVAFBH,[],346
1CgbNAF3Stnz1Tpipu3xdO,"['alternative r&b', 'cali rap', 'indie r&b', 'underground hip hop']",35319
4FreKg40BVDMPRLGeubyku,['indie r&b'],7014
7bpDJUH5hnffIYHID6h3Et,"['bay area indie', 'cali rap', 'underground hip hop']",59780
1EpyA68dKpjf7jXmQL88Hy,"['alternative r&b', 'chicago rap', 'escape room', 'hip hop', 'indie soul', 'rap']",417075
10V21ykJFLM14zMmdNawQG,[],561
3Gm5F95VdRxW3mqCn8RPBJ,"['hip hop', 'pop', 'pop rap', 'portland hip hop', 'rap']",1192056
6f96znq79wvlknKHHHhtTW,"['alternative r&b', 'dutch r&b', 'indie r&b', 'indie soul']",34617
4QJrAwNc5j17E5N2PxpqGj,"['alternative r&b', 'indie r&b', 'uk contemporary r&b']",10167
2org0PubBAxTvjVvLo9PJ0,['la pop'],19018
7pbDxGE6nQSZVfiFdq9lOL,"['bedroom pop', 'indie r&b', 'pop']",1917419
4V8LLVI7PbaPR0K2TGSxFF,"['hip hop', 'rap']",4069389
1U1el3k54VvEUzo3ybLPlM,"['colombian pop', 'pop']",863909
1mSJCvDX0W7Dn7S9C6vmvI,"['electropop', 'indie pop', 'indie poptimism', 'indietronica', 'norwegian pop', 'pop', 'vapor pop', 'vapor soul']",118531
0Vw76uk7P8yVtTClWyOhac,['uk pop'],807112
5y2Xq6xcjJb2jVM54GHK3t,"['neo soul', 'pop', 'r&b', 'urban contemporary']",4921857
1okJ4NC308qbtY9LyHn6DO,['electropop'],18375
2kxP07DLgs4xlWz8YHlvfh,"['indie r&b', 'indonesian r&b', 'pop']",382035
3KedxarmBCyFBevnqQHy3P,"['canadian contemporary r&b', 'canadian pop', 'pop', 'post-teen pop']",652025
1AhjOkOLkbHUfcHDSErXQs,['pop'],442507
3MZsBdqDrRTJihTHQrO6Dq,"['alternative r&b', 'viral pop']",2381573
2IDLDx25HU1nQMKde4n61a,['indonesian hip hop'],1411055
07ZhipyrvoyNoJejeyM0PQ,['chinese hip hop'],223776
2iB8eFB6flwQculkUrRssi,"['la pop', 'r&b']",33345
1Bl6wpkWCQ4KVgnASpvzzA,"['boy band', 'hip hop', 'pop', 'rap']",1323491
4mkGZGaUTIpyG1LnZ6nNIi,[],7750
1anyVhU62p31KFi8MEzkbf,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",4734298
20wkVLutqVOYrc0kxFs7rA,"['canadian contemporary r&b', 'pop']",1832468
6eAUAR4N9NOpirukqdIzVI,['indie r&b'],31294
1ooV8YZC1KbpEcrmI8WH0F,[],93309
73sIBHcqh3Z3NyqHKZ7FOL,"['atl hip hop', 'hip hop', 'pop rap', 'rap']",6101175
2joIhhX3Feq47H4QXVDOr3,"['australian r&b', 'bedroom soul', 'indie r&b', 'pop']",102644
4gHcu2JoaXJ0mV4aNPCd7N,"['dutch pop', 'indie jazz', 'indie soul']",51714
1uiEZYehlNivdK3iQyAbye,['indie soul'],603927
5XenQ7XfcvQdfIbpLEFaKQ,"['alternative r&b', 'dmv rap', 'hip hop', 'rap', 'underground hip hop']",604675
3zlWvRPwLwGSi2v6ltrhOl,[],10398
0xvz4zLVdByWKWFrggGeyB,[],7
49O0SPoCoTiK2Nn2tOaHyU,['chicago indie'],16493
0ojcq9LJQWMawQdFDw3M0L,[],143057
5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'rap']",11421293
2HPaUgqeutzr3jx5a9WyDV,"['hip hop', 'pop', 'pop rap', 'rap', 'toronto rap', 'trap', 'urban contemporary']",2247287
2hPgGN4uhvXAxiXQBIXOmE,"['hip hop', 'rap']",472334
52lBOxCxbJg0ttXEW9CQpW,"['adult standards', 'jump blues', 'lounge', 'soul', 'swing', 'vocal jazz']",106674
17zv49Flq5uvwCWDlJD6Bp,[],1748
31QM5dBtewZL65p9hCnXKK,['alternative r&b'],13575
4p75GTNEXwsAAkpweMVtKo,"['alternative r&b', 'underground hip hop']",63108
4kYSro6naA4h99UJvo89HB,"['pop', 'pop rap', 'rap']",10978729
3ycxRkcZ67ALN3GQJ57Vig,"['alternative r&b', 'indie soul']",538258
0QHgL1lAIqAw0HtD7YldmP,"['dance pop', 'dirty south rap', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",4599523
4TEJudQY2pXxVHPE3gD2EU,"['rap', 'southern hip hop', 'trap', 'vapor trap']",1049969
4UodukR17NIQfNu5uaqm9B,"['afrofuturism', 'alternative r&b', 'escape room', 'indie soul']",119788
0Y5tJX1MQlPlqiwlOH1tJY,['rap'],8457261
6qqNVTkY8uBg9cP3Jd7DAH,"['electropop', 'pop']",23248364
360IAlyVv4PCEVjgyMZrxK,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",2715629
6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'nc hip hop', 'pop rap', 'rap']",10566536
0rlS0SzVFk8BoiAW0fGBbN,['hip hop'],14354
34zbMuAgXxsgqnGXSxWvCR,[],8371
2SPt3i9sJKS1qiMQQQr9LS,['underground hip hop'],42625
109htcq4m4PNL7vmZNRUt6,[],37
2EtW8G5t9dtvsKs5PZLbdo,[],1198
7GVV09qRrwojiWPwxvHvzS,[],1144
3TEOGr8RcpgtQ0KKOi7UWX,[],422
6CqjoQyGZlnhnq5gAUz92c,"['chicago rap', 'drill', 'lgbtq+ hip hop', 'underground hip hop']",98335
4tazLYxrp7rWyKY5D117ZC,[],547
4qBgvVog0wzW75IQ48mU7v,"['pop', 'pop rap', 'rap']",858304
7qbQOln6DZHcPm6l94PXU5,[],22251
5FCl2HwPl8TjJHQemgKx0x,[],1379
7AkzQfyyiRIco3JMVOWBJ5,[],32
2KEqzdPS7M5YwGmiuPTdr5,"['art pop', 'dance pop', 'electropop', 'escape room', 'hyperpop', 'pop']",131537
7fw0E8WHdG3r9SuPBcGmWk,"['australian hip hop', 'conscious hip hop', 'escape room', 'indie soul']",125339
6RCI4WXRwG9jnRHZgzBYFr,['bedroom soul'],32777
3gIRvgZssIb9aiirIg0nI3,"['pop', 'post-teen pop']",766273
6G1yTgvoYsuVb2Ja8cVVJ2,"['canadian hip hop', 'deep pop r&b', 'toronto rap', 'trap soul']",80123
6zVFRTB0Y1whWyH7ZNmywf,['australian reggae fusion'],1024178
0cVRy7Br0axIrN0GgbWkkI,[],4891
5YrpR5RPxUnjQYdNw3WkkH,"['chillhop', 'jazz boom bap', 'jazz rap']",16573
0PbnRQE0uPP2QRqiPac6sn,[],10020
3lLHpTOJ11tWiUNGYN14gt,"['hip hop', 'irish hip hop', 'rap', 'underground hip hop']",223099
4rljPSpCHQzUJMNOvmw1DL,['la pop'],16563
13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",6692285
4wyNyxs74Ux8UIDopNjIai,['art pop'],473682
5iRM7qYip6UNfQaPe2reCz,"['indie r&b', 'indie soul', 'uk alternative hip hop']",26594
5LfhZDNwFPdXrVhlESBE7S,['british soul'],15428
5mqguTgtaoCMNMZD6txCh6,"['bedroom pop', 'indie r&b']",240639
0knGpCTbmG4ctl1wzYRZs4,"['alternative r&b', 'bedroom soul', 'indie r&b']",72023
3jK9MiCrA42lLAdMGUZpwa,['escape room'],1377630
2YZyLoL8N0Wb9xBt1NhZWg,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",14292385
5CiGnKThu5ctn9pBxv7DGa,"['pop', 'pop rap', 'post-teen pop']",509483
26VFTg2z8YR0cCuwLzESi2,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",10032303
6LuN9FCkKOj5PcnpouEgny,"['alternative r&b', 'pop']",10972158
7GN9PivdemQRKjDt4z5Zv8,"['alternative r&b', 'escape room', 'indie soul', 'lgbtq+ hip hop']",752484
1eArFpeqnPTjslJ3cIAMsQ,[],41
6Wjyo1J1HR7HlT2bUTZ82T,['alternative r&b'],3915
021wqpA4geq0mtJlARXjon,[],5257
35RvGPQ1OxbEZknWyiaAcs,"['alternative r&b', 'indie soul', 'new french touch', 'vapor soul']",39478
1W7FNibLa0O0b572tB2w7t,"['alternative r&b', 'bedroom soul', 'indie r&b', 'pop']",252499
4Y2i9jhU3jW0PVsvTLIbWX,['alternative r&b'],5463
2IEnjZsVDEPKUTxNinyqba,[],22003
6YloMIsWjpHzIRK8s5tzAr,['indie r&b'],49459
24icoQNJSEWNu3XvqKBR68,"['alternative r&b', 'indie jazz', 'indie r&b', 'indie soul', 'neo r&b', 'neo soul', 'soul']",187939
2XRYsKcieFXOqEOSpFhID9,['jazz rap'],12873
7c6eQSFEfIt9rV3gh4cgtj,['bedroom soul'],7851
6chWbUfdu6ibyaCXM1w8kQ,[],58894
7J4Pg0NGyrWoMrROYhnlP6,[],31914
1GQx6SUIHxDC1mRIFIpslD,['alternative r&b'],20793
1Z8ODXyhEBi3WynYw0Rya6,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'rap']",510223
57jIhbre5LNTiR4Pr60wUs,['progressive post-hardcore'],27547
6kESeNK2Z2kMi60CGDWiz5,[],208
43JlwunhXm1oqdKyOa2Z9Y,"['alternative r&b', 'australian r&b', 'indie jazz', 'indie soul', 'neo r&b', 'shiver pop']",333939
0yLmsf6RBPYqm6hvFJCPg6,"['alternative r&b', 'indie jazz', 'indie soul', 'neo r&b', 'wonky']",45232
1CFCsEqKrCyvAFKOATQHiW,"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music', 'worship']",834040
4AA474G2hRfrHyGrfyDseO,"['cali rap', 'trap', 'west coast trap']",337454
29WzbAQtDnBJF09es0uddn,"['british soul', 'neo mellow', 'neo soul', 'soul']",513931
4oDjh8wNW5vDHyFRrDYC4k,"['indie r&b', 'indie soul', 'london rap']",311619
5aMIbwZQvP2MHPMVC5zCGj,"['alternative r&b', 'indie r&b', 'trap soul']",80076
77mJc3M7ZT5oOVM7gNdXim,"['indie garage rock', 'indie pop', 'liverpool indie']",169347
6qgnBH6iDM91ipVXv28OMu,"['escape room', 'indie soul', 'lgbtq+ hip hop']",634952
3sJQwG0SsGRyv5C5kh4o9a,"['alternative r&b', 'canadian pop', 'indie r&b', 'indie soul', 'montreal indie']",23488
6LtgEnShwvrqAaKohg7skM,"['alternative r&b', 'indie r&b', 'indie soul', 'neo r&b']",20109
3w18CP1k8zFZb1GfRlPHyK,['alternative r&b'],7890
2h93pZq0e7k5yf4dywlkpM,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",5452514
16rCzZOMQX7P8Kmn5YKexI,"['alternative r&b', 'indie anthem-folk', 'indie r&b', 'indie soul', 'pop', 'uk contemporary r&b']",347248
4ULO7IGI3M2bo0Ap7B9h8a,"['alternative r&b', 'deep pop r&b', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",750859
6FD0unjzGQhX3b6eMccMJe,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']",495558
4VmEWwd8y9MCLwexFMdpwt,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']",1101470
2yQf6b8hxahZaT5dHlWaB1,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']",355341
7Hjbimq43OgxaBRpFXic4x,"['alternative r&b', 'chicago rap', 'hip hop', 'rap', 'underground hip hop']",320195
4JqpJeNOhP6bAkolNMLwFg,"['alternative r&b', 'escape room', 'indie r&b']",39834
6aaMZ3fcfLv4tEbmY7bjRM,"['hip hop', 'rap', 'underground hip hop']",674203
3qBKjEOanahMxlRojwCzhI,['gqom'],51031
4hTL3jOgvZwOqegEZTOrCc,"['alternative r&b', 'indie r&b', 'indie soul', 'trap soul', 'uk contemporary r&b']",70584
3Y7RZ31TRPVadSFVy1o8os,"['pop', 'r&b']",2313093
7uwY65fDg3FVJ8MkJ5QuZK,"['english indie rock', 'leicester indie']",105948
4NcMrSi3B8eUVy6e1Ni3wu,"['alternative r&b', 'escape room', 'indie soul', 'nc hip hop']",41208
2kWjwSKDz3uCWAJfUExT0M,[],493
5YZ5AExR68U3ZblH6HcO6B,"['alternative r&b', 'indie r&b', 'indie soul']",74709
5FxD8fkQZ6KcsSYupDVoSO,"['alternative r&b', 'bedroom pop', 'bedroom soul', 'indie pop', 'indie r&b', 'pop']",229838
6cXU3B0U7wNEOOU8UjaWww,['chattanooga indie'],24147
4rDcfb3TEWyx0BKdzKG24I,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",32136
