track_id,track_name,artist_name,artist_id,release_date,album_type,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
01c9sDv4paB121N6l2BFKY,Babylon,"['Jauz', 'Tisoki']","['5ttgIeUVka6FLyi00Uu5h8', '0XW7mqhbaQnRtHmwfAVg64']",2018-08-31,album,35,0.611,0.92,1,-3.531,1,0.144,0.0232,0.0015,0.147,0.451,145.005,293000,4
48iZQ89FuDSmqRk1AjRcrP,OK!,"['Jauz', 'San Holo']","['5ttgIeUVka6FLyi00Uu5h8', '0jNDKefhfSbLR9sFvcPLHo']",2016-10-10,single,42,0.615,0.885,10,-3.281,0,0.0397,0.0174,0.00422,0.101,0.112,127.939,188438,4
6DlpWCFx1fsv0LCa3AQ81D,Infected,"['Tiësto', 'Jauz']","['2o5jDhtHVPhrJdv3cEQ99Z', '5ttgIeUVka6FLyi00Uu5h8']",2016-07-15,single,43,0.605,0.974,5,-3.996,0,0.169,0.0764,0.312,0.128,0.082,128.03,225000,4
03IxJiB8ZOH9hEQZF5mCNY,Feel The Volume,['Jauz'],['5ttgIeUVka6FLyi00Uu5h8'],2014-11-11,single,55,0.725,0.918,10,-4.912,0,0.0676,0.153,0.0328,0.113,0.201,125.009,230400,4
4BNWc6VNhfANsYMeTxGw4R,Get To Me,['Jauz'],['5ttgIeUVka6FLyi00Uu5h8'],2019-10-11,single,46,0.574,0.899,1,-3.619,1,0.0483,0.321,0.0,0.0927,0.387,128.06,256875,4
7n2subz5J0refy5dZG1Rpg,Deeper Love,['Jauz'],['5ttgIeUVka6FLyi00Uu5h8'],2015-10-02,single,47,0.619,0.869,9,-4.805,1,0.0773,0.00427,1.93e-06,0.38,0.527,125.257,230400,4
3G0awBmyUu0eLh30XTthBk,Rock The Party - Radio Edit,"['Jauz', 'Ephwurd']","['5ttgIeUVka6FLyi00Uu5h8', '548YUkLaLzti0BLqaWpn1W']",2015-07-31,single,51,0.695,0.981,0,-3.137,1,0.173,0.0362,0.00247,0.0584,0.27,128.018,190784,4
6nRt8NiaJpLYm1cfLl163X,Higher,"['Jauz', 'Netsky']","['5ttgIeUVka6FLyi00Uu5h8', '5TgQ66WuWkoQ2xYxaSTnVP']",2016-03-25,single,39,0.86,0.903,10,-3.84,0,0.104,0.0291,0.0105,0.07,0.459,126.031,274293,4
30Ek6vDZ77PWTQS9HiV3xB,Fly Kicks - Wax Motif Remix,"['AC Slater', 'Chris Lorenzo', 'Wax Motif']","['6EqFMCnVGBRNmwPlk2f3Uc', '7tm9Tuc70geXOOyKhtZHIj', '7zm3aSdmGiOkTt0aZFSO8R']",2017-07-07,compilation,57,0.897,0.692,11,-4.985,0,0.0492,0.0187,0.728,0.0603,0.607,125.024,278400,4
4KijRdYr1flPW84eTMg6de,Get Down,"['Jauz', 'Eptic']","['5ttgIeUVka6FLyi00Uu5h8', '4dvZ0abeUaiHm7Fu9Gj0PQ']",2016-04-01,single,35,0.404,0.99,1,-2.83,1,0.125,0.00983,0.000254,0.282,0.0786,127.842,185625,4
5WxWYZfesHHT0ayGYn1REN,In The Zone,"['Jauz', 'Example']","['5ttgIeUVka6FLyi00Uu5h8', '6Vh6UDWfu9PUSXSzAaB3CW']",2018-03-23,single,41,0.716,0.904,5,-6.863,1,0.0517,0.00928,0.231,0.335,0.479,128.001,195625,4
74cvkvTVxAXCew97vBnYiy,Notorious,['Malaa'],['7w1eTNePApzDk8XtgykCPS'],2016-08-24,single,60,0.813,0.569,2,-6.068,1,0.0468,0.0508,0.0016,0.056,0.18,123.028,271219,4
46rZgRYU1H5Xnv0n75OGis,Deep Down Low,['Valentino Khan'],['0deIjoDjl9g9Zpw0sCIOHh'],2015-07-10,single,59,0.794,0.896,5,-1.514,0,0.0677,0.00371,0.615,0.0876,0.5,125.999,190476,4
